event_id,event_type,user_id,item_id,order_id,session_id,ts,payload
1,AddToCart,23,131,,sess_23_6450,2025-12-02T08:58:48+00:00,"{""price"":""16336.62"",""quantity"":3}"
2,CatalogViewed,68,1033,,sess_68_4224,2025-12-02T09:06:40+00:00,"{""category_id"":2,""source"":""catalog""}"
3,CatalogViewed,211,790,,sess_211_5983,2025-12-02T09:23:29+00:00,"{""category_id"":21,""source"":""catalog""}"
4,CatalogViewed,165,1113,,sess_165_7850,2025-12-02T09:47:58+00:00,"{""category_id"":15,""source"":""catalog""}"
5,AddToCart,537,732,,sess_537_5953,2025-12-02T09:50:22+00:00,"{""price"":""1477.73"",""quantity"":2}"
6,RecommendationShown,509,852,,sess_509_9761,2025-12-02T09:55:09+00:00,"{""context"":""item"",""items"":[224,1018,614,117,301,246,4,543,402,1021],""model_version"":""recs_rank_v5"",""request_id"":1345}"
7,CatalogViewed,108,265,,sess_108_6222,2025-12-02T10:09:40+00:00,"{""category_id"":20,""source"":""catalog""}"
8,OrderCreated,334,,500160,,2025-12-02T10:14:49+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":472,""price"":""2545.06"",""qty"":2},{""item_id"":794,""price"":""2018.62"",""qty"":1},{""item_id"":244,""price"":""28161.36"",""qty"":1},{""item_id"":1147,""price"":""1763.74"",""qty"":1}],""total"":""37033.84""}"
9,CatalogViewed,346,610,,sess_346_5066,2025-12-02T10:18:30+00:00,"{""category_id"":16,""source"":""catalog""}"
10,RecommendationShown,503,,,sess_503_5048,2025-12-02T10:31:29+00:00,"{""context"":""catalog"",""items"":[1110,43,879,611,925,275,1143,957,1127,41],""model_version"":""recs_rank_v6"",""request_id"":606}"
11,OrderCreated,185,,500103,,2025-12-02T10:40:04+00:00,"{""currency"":""RUB"",""items"":[{""item_id"":974,""price"":""17458.68"",""qty"":1},{""item_id"":872,""price"":""29259.43"",""qty"":1}],""total"":""46718.11""}"
12,CatalogViewed,277,74,,sess_277_1928,2025-12-02T10:51:58+00:00,"{""category_id"":1,""source"":""catalog""}"
13,AddToCart,167,867,,sess_167_6205,2025-12-02T10:55:38+00:00,"{""price"":""68170.60"",""quantity"":3}"
14,CatalogViewed,290,526,,sess_290_9494,2025-12-02T11:09:47+00:00,"{""category_id"":7,""source"":""catalog""}"
15,CatalogViewed,10,242,,sess_10_9993,2025-12-02T11:19:30+00:00,"{""category_id"":3,""source"":""catalog""}"
16,CatalogViewed,139,485,,sess_139_5079,2025-12-02T11:29:14+00:00,"{""category_id"":5,""source"":""catalog""}"
17,CatalogViewed,543,19,,sess_543_7788,2025-12-02T11:43:09+00:00,"{""category_id"":3,""source"":""catalog""}"
18,CatalogViewed,447,466,,sess_447_2238,2025-12-02T12:17:19+00:00,"{""category_id"":17,""source"":""catalog""}"
19,CatalogViewed,142,929,,sess_142_2194,2025-12-02T12:22:06+00:00,"{""category_id"":3,""source"":""catalog""}"
20,CatalogViewed,213,1085,,sess_213_8760,2025-12-02T13:00:13+00:00,"{""category_id"":9,""source"":""catalog""}"
21,CatalogViewed,199,1198,,sess_199_2074,2025-12-02T13:29:50+00:00,"{""category_id"":11,""source"":""catalog""}"
22,CatalogViewed,511,328,,sess_511_7299,2025-12-02T13:32:53+00:00,"{""category_id"":11,""source"":""catalog""}"
23,CatalogViewed,505,1024,,sess_505_1338,2025-12-02T13:39:28+00:00,"{""category_id"":4,""source"":""catalog""}"
24,RecommendationShown,568,743,,sess_568_6483,2025-12-02T13:51:29+00:00,"{""context"":""cart"",""items"":[641,215,1000,1071,681,952,115,613,83,56],""model_version"":""recs_rank_v6"",""request_id"":822}"
25,RecommendationShown,529,,,sess_529_3858,2025-12-02T13:54:53+00:00,"{""context"":""catalog"",""items"":[464,866,190,326,559,117,172,782,96,1038],""model_version"":""recs_rank_v6"",""request_id"":940}"
26,CatalogViewed,276,649,,sess_276_6671,2025-12-02T14:59:36+00:00,"{""category_id"":2,""source"":""catalog""}"
27,RecommendationDisliked,503,957,,sess_503_9127,2025-12-02T16:18:39+00:00,"{""action"":""dislike"",""request_id"":606}"
28,RecommendationShown,23,873,,sess_23_8945,2025-12-02T17:00:55+00:00,"{""context"":""cart"",""items"":[238,709,920,90,1131,855,264,933,171,800],""model_version"":""recs_rank_v6"",""request_id"":1060}"
29,RecommendationShown,246,,,sess_246_4265,2025-12-02T17:09:05+00:00,"{""context"":""catalog"",""items"":[573,768,873,970,243,146,447,222,1099,551],""model_version"":""recs_rank_v2"",""request_id"":1276}"
30,CatalogViewed,548,895,,sess_548_2503,2025-12-02T17:11:16+00:00,"{""category_id"":4,""source"":""catalog""}"
31,AddToCart,354,270,,sess_354_9760,2025-12-02T17:26:53+00:00,"{""price"":""19693.85"",""quantity"":1}"
32,RecommendationShown,176,,,sess_176_4055,2025-12-02T17:36:01+00:00,"{""context"":""catalog"",""items"":[224,303,1028,245,691,1045,592,40,1021,900],""model_version"":""recs_rank_v6"",""request_id"":752}"
33,AddToCart,377,240,,sess_377_6532,2025-12-02T17:56:57+00:00,"{""price"":""5681.62"",""quantity"":3}"
34,AddToCart,282,61,,sess_282_8374,2025-12-02T18:03:33+00:00,"{""price"":""120589.92"",""quantity"":1}"
35,CatalogViewed,17,639,,sess_17_7580,2025-12-02T18:14:46+00:00,"{""category_id"":15,""source"":""catalog""}"
