feedback_id,request_id,user_id,item_id,action,ts
1,1,245,443,click,2025-12-03T04:28:13+00:00
2,1,245,142,skip,2025-12-03T09:30:18+00:00
3,1,245,946,click,2025-12-03T11:57:21+00:00
4,1,245,1033,click,2025-12-02T23:34:51+00:00
5,2,360,1,click,2026-02-16T23:57:05+00:00
6,2,360,665,click,2026-02-17T02:56:29+00:00
7,3,449,263,click,2025-12-06T03:16:55+00:00
8,3,449,943,skip,2025-12-06T15:35:04+00:00
9,3,449,839,click,2025-12-05T12:58:24+00:00
10,3,449,969,click,2025-12-05T19:56:34+00:00
11,4,432,57,click,2026-01-02T04:54:37+00:00
12,4,432,286,click,2026-01-03T01:31:58+00:00
13,4,432,22,click,2026-01-02T17:44:21+00:00
14,4,432,807,click,2026-01-02T11:15:19+00:00
15,4,432,1080,click,2026-01-02T03:49:58+00:00
16,4,432,1193,dislike,2026-01-03T07:48:51+00:00
17,4,432,1169,skip,2026-01-02T10:12:49+00:00
18,5,279,725,click,2026-01-09T17:07:01+00:00
19,5,279,328,skip,2026-01-09T21:17:50+00:00
20,5,279,426,click,2026-01-09T03:53:18+00:00
21,5,279,692,click,2026-01-09T17:15:05+00:00
22,6,558,317,click,2025-12-07T23:09:03+00:00
23,6,558,727,click,2025-12-07T11:59:16+00:00
24,6,558,261,skip,2025-12-08T08:34:46+00:00
25,6,558,238,dislike,2025-12-08T03:18:20+00:00
26,7,46,987,click,2025-12-05T22:25:57+00:00
27,7,46,887,click,2025-12-06T14:07:48+00:00
28,7,46,610,dislike,2025-12-07T00:43:33+00:00
29,7,46,291,skip,2025-12-06T15:46:35+00:00
30,7,46,816,skip,2025-12-06T19:23:51+00:00
31,7,46,1001,skip,2025-12-05T20:55:52+00:00
32,7,46,992,dislike,2025-12-06T04:26:07+00:00
33,8,203,172,skip,2026-01-21T18:49:42+00:00
34,8,203,402,click,2026-01-21T21:13:12+00:00
35,8,203,980,dislike,2026-01-22T05:02:15+00:00
36,8,203,315,click,2026-01-21T10:24:23+00:00
37,9,481,109,skip,2026-02-20T09:29:05+00:00
38,9,481,1138,click,2026-02-20T06:34:55+00:00
