request_id,position,item_id,score,reason_code
1,1,443,0.693028,complementary
1,2,142,0.645498,price_drop
1,3,820,0.572751,similar_items
1,4,50,0.566176,popular
1,5,397,0.559253,similar_items
1,6,346,0.452354,popular
1,7,946,0.238457,similar_items
1,8,1033,0.200003,similar_items
1,9,956,0.181007,popular
1,10,862,0.081078,similar_items
2,1,875,0.977367,price_drop
2,2,375,0.965899,new_arrival
2,3,789,0.828599,similar_items
2,4,153,0.826645,price_drop
2,5,247,0.668951,new_arrival
2,6,19,0.621632,complementary
2,7,1,0.415109,popular
2,8,213,0.357232,price_drop
2,9,665,0.315847,popular
2,10,1032,0.128036,price_drop
3,1,1189,0.976605,popular
3,2,1024,0.883165,new_arrival
3,3,831,0.836027,similar_items
3,4,895,0.755342,popular
3,5,263,0.601285,popular
3,6,943,0.380221,similar_items
3,7,839,0.355729,new_arrival
3,8,969,0.221013,popular
3,9,63,0.167609,popular
3,10,1137,0.095541,price_drop
4,1,57,0.739942,price_drop
4,2,286,0.706227,similar_items
4,3,22,0.548830,similar_items
4,4,807,0.533380,similar_items
4,5,1080,0.435437,similar_items
4,6,618,0.409220,similar_items
4,7,1193,0.280874,price_drop
4,8,455,0.279693,complementary
4,9,1169,0.269493,popular
4,10,372,0.232744,similar_items
5,1,725,0.931492,price_drop
5,2,328,0.814529,complementary
5,3,1198,0.758545,new_arrival
5,4,145,0.730548,similar_items
5,5,1067,0.645305,popular
5,6,849,0.627066,popular
5,7,426,0.623231,similar_items
5,8,1103,0.578045,similar_items
5,9,692,0.282375,similar_items
5,10,988,0.152472,price_drop
6,1,1052,0.697095,complementary
6,2,852,0.669183,similar_items
6,3,749,0.588698,complementary
6,4,894,0.546509,complementary
6,5,317,0.542925,price_drop
6,6,1040,0.498055,popular
6,7,727,0.392284,similar_items
6,8,261,0.371986,new_arrival
6,9,238,0.355061,similar_items
6,10,992,0.328621,price_drop
7,1,987,0.846816,price_drop
7,2,887,0.730545,popular
7,3,108,0.558985,popular
7,4,261,0.371087,price_drop
7,5,610,0.260059,complementary
7,6,291,0.211965,similar_items
7,7,816,0.176239,similar_items
7,8,1001,0.174524,popular
7,9,992,0.129363,complementary
7,10,637,0.083775,popular
8,1,72,0.911419,new_arrival
8,2,514,0.867508,similar_items
8,3,172,0.818376,new_arrival
8,4,572,0.687842,similar_items
8,5,579,0.679042,popular
8,6,817,0.490786,new_arrival
8,7,281,0.291505,similar_items
8,8,402,0.288717,complementary
8,9,980,0.288268,price_drop
8,10,315,0.169975,complementary
9,1,583,0.856161,similar_items
9,2,719,0.749683,price_drop
9,3,109,0.623530,new_arrival
9,4,1138,0.611287,similar_items
9,5,346,0.535556,popular
9,6,983,0.529166,similar_items
9,7,1098,0.407531,new_arrival
9,8,476,0.294807,complementary
9,9,946,0.164379,similar_items
9,10,841,0.076863,similar_items
10,1,792,0.919441,similar_items
10,2,727,0.796052,similar_items
10,3,1131,0.781336,new_arrival
10,4,933,0.736712,popular
10,5,238,0.513068,new_arrival
10,6,682,0.489791,new_arrival
10,7,902,0.257303,similar_items
10,8,193,0.216611,popular
10,9,103,0.148589,similar_items
10,10,550,0.112630,similar_items
11,1,892,0.980189,popular
11,2,1112,0.910956,popular
11,3,351,0.896239,complementary
11,4,525,0.672778,new_arrival
11,5,385,0.646834,popular
11,6,395,0.600812,complementary
11,7,345,0.535282,popular
11,8,679,0.520082,popular
11,9,436,0.494565,similar_items
11,10,16,0.217500,similar_items
12,1,812,0.896643,popular
12,2,189,0.783922,popular
12,3,554,0.701509,complementary
12,4,530,0.682886,price_drop
12,5,712,0.628726,similar_items
12,6,378,0.578148,similar_items
12,7,483,0.553922,popular
12,8,64,0.515283,popular
12,9,284,0.475208,popular
12,10,31,0.221470,price_drop
13,1,551,0.905003,similar_items
13,2,821,0.899517,similar_items
13,3,327,0.827698,similar_items
13,4,765,0.800737,similar_items
13,5,764,0.785970,complementary
13,6,421,0.769926,similar_items
13,7,297,0.516205,similar_items
13,8,222,0.454552,similar_items
13,9,1047,0.367319,popular
13,10,703,0.255394,popular
14,1,1194,0.980654,popular
14,2,593,0.833297,complementary
14,3,522,0.831898,price_drop
14,4,1123,0.768240,similar_items
14,5,25,0.615408,popular
14,6,100,0.583803,similar_items
14,7,1145,0.459285,popular
14,8,1107,0.410135,complementary
14,9,668,0.224771,popular
14,10,92,0.165778,similar_items
15,1,160,0.948566,complementary
15,2,44,0.924362,popular
15,3,68,0.756402,similar_items
15,4,819,0.668358,similar_items
15,5,998,0.630179,popular
15,6,29,0.526677,new_arrival
15,7,288,0.422994,popular
15,8,1064,0.384592,popular
15,9,88,0.364441,similar_items
15,10,403,0.073298,new_arrival
16,1,949,0.988626,popular
16,2,280,0.974855,complementary
16,3,292,0.920646,popular
16,4,190,0.765633,similar_items
16,5,72,0.738290,new_arrival
16,6,1094,0.650269,similar_items
16,7,117,0.634500,price_drop
16,8,782,0.408753,price_drop
16,9,606,0.278922,similar_items
16,10,1006,0.197984,popular
17,1,902,0.967760,popular
17,2,281,0.930657,complementary
17,3,1179,0.808745,popular
17,4,422,0.746193,new_arrival
17,5,84,0.742499,popular
17,6,113,0.671938,popular
17,7,646,0.241610,complementary
17,8,523,0.212266,price_drop
17,9,172,0.211243,price_drop
17,10,407,0.096291,complementary
18,1,947,0.886570,popular
