user_id,updated_at,category_counts,brand_counts,avg_check,last_k_items,last_active_ts
1,2026-02-14T14:57:13+00:00,"{""14"":136,""15"":68,""16"":112,""19"":89,""3"":9,""9"":28}","{""Foxly"":92,""Lumen"":36,""Orion"":13,""Smarton"":113,""Volna"":74}",60422.43,"[383,38,1100,105,659,642,74,783,407,525,329,48]",2026-03-01T11:17:00+00:00
2,2026-01-02T11:52:11+00:00,"{""18"":158,""3"":26,""4"":150,""7"":81}","{""Aster"":74,""Foxly"":58,""PixelWay"":90}",10762.06,"[407,48,175,243,621,588,97,468]",2026-02-04T15:01:54+00:00
3,2026-01-26T10:07:57+00:00,"{""13"":15,""2"":82,""22"":133,""6"":27,""7"":93}","{""AquaLeaf"":113,""Crafto"":39,""MobiPro"":56,""PrimeTech"":67,""Volna"":49}",51191.43,"[1154,1075,926,1040,137]",2026-02-03T20:41:53+00:00
4,2026-01-10T23:44:29+00:00,"{""1"":73,""10"":65,""14"":9,""16"":81,""18"":24,""3"":110,""6"":121}","{""Lira"":67,""UrbanFit"":14,""Volna"":35}",,"[771,1086,748,422,420,387,592,8,38]",2026-02-26T10:21:36+00:00
5,2026-02-13T16:00:40+00:00,"{""1"":46,""12"":23,""14"":142,""18"":15,""4"":26,""9"":131}","{""CleverBee"":115,""Neonix"":94,""PrimeTech"":120,""Rivex"":95}",10144.27,"[776,397,1107,420,545,2,926,101]",2026-03-01T04:53:08+00:00
6,2026-02-17T06:10:34+00:00,"{""1"":145,""2"":128,""20"":78,""22"":35,""7"":32}","{""AquaLeaf"":28,""Aster"":5,""Foxly"":59,""HomeArt"":82,""Orion"":81}",2098.28,"[1177,763,1008,1186,397,116,559,187,858,1147,378,644]",2026-02-24T09:44:54+00:00
7,2026-02-02T17:20:50+00:00,"{""1"":140,""18"":44,""2"":51,""23"":153,""7"":114}","{""Crafto"":58,""Futura"":83,""Volna"":83}",58364.80,"[792,523,1186,399,581,941,324,342,683,866,827]",2026-02-14T11:38:52+00:00
8,2026-02-27T01:53:07+00:00,"{""16"":89,""18"":40,""20"":26,""21"":56,""24"":158,""4"":141,""7"":98}","{""AquaLeaf"":60,""MobiPro"":120,""Neonix"":102,""SilverBox"":118,""Smarton"":40}",54401.02,"[957,377,186,881,90,503]",2026-02-27T19:59:32+00:00
9,2026-01-29T15:31:03+00:00,"{""13"":80,""17"":114,""19"":22,""21"":124,""22"":122,""3"":46,""4"":53}","{""Neonix"":66,""UrbanFit"":119,""Volna"":120}",11342.73,"[1036,1031,55,1028,1007,213,734]",2026-02-18T21:47:06+00:00
10,2025-12-16T17:14:06+00:00,"{""24"":90,""5"":159,""6"":136,""9"":124}","{""Foxly"":57,""Optima"":9,""PixelWay"":13,""TrueSound"":119}",44275.05,"[840,796,627,1003,700]",
11,2025-12-08T02:57:38+00:00,"{""1"":112,""15"":98,""20"":127}","{""Aster"":31,""Foxly"":120,""NordLine"":117,""PrimeTech"":103,""TrueSound"":94}",,"[899,155,925,327,643,812,18,759]",
12,2025-12-04T01:02:00+00:00,"{""10"":135,""15"":138,""16"":154,""17"":149,""2"":35,""5"":17,""7"":93}","{""Lira"":85,""PrimeTech"":85,""Vertex"":11}",,"[1051,191,1159,736,451,114,178,431,168,125,998]",2026-02-02T20:20:29+00:00
13,2026-01-02T09:17:41+00:00,"{""14"":39,""21"":38,""22"":57,""23"":25,""5"":160,""6"":45}","{""AquaLeaf"":29,""CleverBee"":57,""Optima"":16,""Rivex"":93}",53515.31,"[849,568,254,620,817,674,44]",2026-02-14T10:53:01+00:00
